ITEM,SETOR,NUP,EMPRESA,VALOR,COMPETENCIA,CONTRATO,VENCIMENTO_CONTRATO,NOTA_PATRIMONIAL,PARCELA,ITEM_DESPESA,FONTE,NATUREZA_DE_DESPESA,RECURSO,P_A,NUMERO_EMPENHO,IMPOSTO_DE_RENDA,IMPOSTO_ISS,INSS,DATA_PAGAMENTO,VALOR_LIQUIDO,N_DA_LIQUIDAO,Unnamed_30
1,ALMOXARIFADO,24001.004087/2025-17,ICLEANPRO,50700.0,2025-01-01,1699/2024,2025-06-04 00:00:00.000000000,44,619.0,1882,FAE,339039,Produção,80470,2025NE000023,"R$608,40",XXX,"11504,22???",2025-04-01 00:00:00,"R$50.091,60",2025NL000612,
2,ALMOXARIFADO,24001.004012/2025-28,LAF MED,186375.0,2025-01-01,OC,2025-06-19 00:00:00.000000000,123,645.0,1895,FAE,339030,produção ,81330,2025NE000152,,,,,,,
3,ALMOXARIFADO,24001.004015/2025-61,M C VITORIANO,450186.0,2025-01-01,OC,2025-06-19 00:00:00.000000000,TESOURO,643.0,1895,TESOURO,Não Informado,T/500,T/500,2025NE000143,X,X,X,2025-03-31 00:00:00,"R$45.018,60",2025NL000616,
4,MANUTENÇÃO,24001.004611/2025-41,K G CONSTRUÇÕES,5427066.0,2025-01-01,1400/2024,2025-10-07 00:00:00.000000000,44,568.0,2166,FAE,339039,Produção,80901,2025NE000017,,,,,,,
5,ALMOXARIFADO,24001.003112/2025-37,J.V. MAXIMUS,155813.0,2025-01-01,OC,2025-06-18 00:00:00.000000000,123,655.0,1882,FAE,33900,Produção,78656,2025NE000191,"R$186,98",XXX,XXX,2025-03-06 00:00:00,"R$15.394,32",2025NL000364,
6,ALMOXARIFADO,24001.004007/2025-15,J.V. MAXIMUS,327555.0,2025-01-01,OC,2025-06-19 00:00:00.000000000,44,631.0,1895,FAE,339039,Produção,77601,2025NE000089,,,,,,,
7,CMMH,24001.005648/2025-97,AGF MEDICAL,1687222.0,2025-01-01,616/2024,2025-06-09 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77536,2025NE000030,,,,,,,
8,CMMH,24001.005663/2025-35,SURGICALLMED,1350.0,2025-01-01,1454/2024,2025-11-02 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77543,2025NE000037,,,,,,,
9,CMMH,24001.005668/2025-68,SURGICALLMED,80.0,2025-01-01,1454/2024,2025-11-02 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77462,2025NE000032,,,,,,,
10,CMMH,24001.005672/2025-26,SURGICALLMED,900.0,2025-01-01,1454/2024,2025-11-02 00:00:00.000000000,44,621.0,Não Informado,FAE,Não Informado,Produção,77460,2025NE000036,,,,,,,
11,CMMH,24001.005659/2025-77,SURGICALLMED,1380.0,2025-01-01,1454/2024,2025-11-02 00:00:00.000000000,44,621.0,1895,FAE,339039,Produção,77540,2025NE000034,,,,,,,
12,EXAMES,24001.005384/2025-71,COOPNEURO,10500.0,2025-01-01,1235/2024,2025-09-17 00:00:00.000000000,44,573.0,2192,FAE,339039,Não Informado,77251,2025NE000047,"R$157,70",XXX,XXX,2025-02-17 00:00:00,"R$10.342,50",2025NL000200,
13,MANUTENÇÃO,24001.003941/2025-10,K G CONSTRUÇÕES,31778469.0,2025-01-01,1400/2024,2025-10-07 00:00:00.000000000,ARQUIVADO,,Não Informado,Não Informado,Não Informado,Não Informado,,ARQUIVADA,,,,,,,
14,CMMH,24001.005714/2025-29,MEDIMAC COMERCIO,700.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78507,2025NE000065,"R$8,40",XXX,XXX,2025-02-28 00:00:00,691.6,2025NL000345,
15,CMMH,24001.005719/2025-51,MEDIMAC COMERCIO,700.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78519,2025NE000067,"R$8,40",XXX,XXX,2025-02-28 00:00:00,"R$691,60",2025NL000354,
16,CMMH,24001.005724/2025-64,CEI COMERCIO,78666.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,628.0,1895,FAE,339030,Produção,78511,2025NE000068,"R$9,44",XXX,XXX,2025-02-28 00:00:00,"R$777,22",2025NL000348,
17,CMMH,24001.005712/2025-30,MEDIMAC COMERCIO,700.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78514,2025NE000071,"R$8,40",XXX,XXX,2025-02-28 00:00:00,"R$691,60",2025NL000351,
18,CMMH,24001.005635/2025-18,PROHOSPITAL,383688.0,2025-01-01,OC,2025-12-29 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,77573,2025NE000074,,,,,,,
19,CMMH,24001.005683/2025-14,MEDIMAC COMERCIO,700.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78517,2025NE000075,"R$8,40",XXX,XXX,2025-02-28 00:00:00,"R$691,60",2025NL000353,
20,CMMH,24001.005689/2025-83,MEDIMAC COMERCIO,700.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,627.0,1895,FAE,339030,Produção,78513,2025NE000076,"R$8,40",XXX,XXX,2025-02-28 00:00:00,"R$691,60",2025NL000350,
21,CMMH,24001.005693/2025-41,MEDIMAC COMERCIO,700.0,2025-01-01,OC,2025-10-27 00:00:00.000000000,44,681.0,1895,FAE,339030,Produção,78512,2025NE000090,"R$8,40",XXX,XXX,2025-02-28 00:00:00,"R$691,60",2025NL000349,
